name,rating,reviews,image
89. Restaurant FINCH,4.4,(10 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/Wu0XwPeofB-_kUILXjoQzw/348s.jpg
90. Weinstube zum Tröpfle,4.8,(15 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/SmOxwUsCT5soT4FFyHkXZw/348s.jpg
91. German Classic Diner,5.0,(1 review),https://s3-media0.fl.yelpcdn.com/bphoto/tKW8UimkhpDNKJ7L51xHpw/348s.jpg
92. Kwan Kao,4.5,(8 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/MJeqPlQhWxx0rNoi1j4iew/348s.jpg
93. Lúc Lác,4.1,(54 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/OwBOCJncjgnst7RwDbirrg/348s.jpg
94. Mikoto,3.9,(29 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/PHLjHDE3tAEMX2yDZZWGOw/348s.jpg
95. Esszimmer,4.0,(5 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/MMWSSE--9_Xd6Tbf_RIF1g/348s.jpg
96. Sushi & Wok,4.0,(64 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/_OlfQk6aYxdSIx0wzmlKKw/348s.jpg
97. Netzer,5.0,(5 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/UUJOv_RC7O7-rDgITUsrug/348s.jpg
98. Hola Mexicana,4.0,(5 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/BeoBXbJ3kbnMP-GXqDswiQ/348s.jpg
99. Sakristei,5.0,(1 review),https://s3-media0.fl.yelpcdn.com/bphoto/xC2_pLMwhh5L5kwB1o-_jQ/348s.jpg
100. Zum Alten Besen,5.0,(1 review),https://s3-media0.fl.yelpcdn.com/bphoto/MZpBiJcCRe2_3FwBgrnjpA/348s.jpg
101. Ritzi,5.0,(1 review),https://s3-media0.fl.yelpcdn.com/bphoto/KMGx0AvAe4cQ8hMUEXRp_Q/348s.jpg
102. Tokio Dining,4.3,(50 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/f3Npks3qjxGobWZOT--a4g/348s.jpg
103. Waffel Dream,4.0,(1 review),https://s3-media0.fl.yelpcdn.com/bphoto/y9KRGC9p-R80AUsFCJzRwA/348s.jpg
104. Weinstube Zur Kiste,4.6,(21 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/tyLfo10QSyu1K_nCrHk6sg/348s.jpg
105. L’angolino,3.8,(16 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/sNPvye-88ufqIV2Mi6hUPA/348s.jpg
106. Biergarten im Schlossgarten,3.8,(44 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/ZEnT_r_RYBg_0wBnYpn4Ng/348s.jpg
107. Arslan’s Kebap Stuttgart West,5.0,(1 review),https://s3-media0.fl.yelpcdn.com/bphoto/8IRN5lrs8AOB1o685jK4wA/348s.jpg
108. Distelfarm,4.0,(9 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/CjmsVV-dd0EnruveYot4Tw/348s.jpg
109. Brasserie Bo.vin,5.0,(1 review),https://s3-media0.fl.yelpcdn.com/bphoto/ExJNFFO7Jh7HBBj874evxg/348s.jpg
110. Ochs’n Willi,3.7,(149 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/A-q5HwNZohxI3clFgEcoWg/348s.jpg
111. Bella Napoli,4.3,(25 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/FWk8V2ZaBn1Yl0ieAQiy7w/348s.jpg
112. Heslacher Weinstube,4.1,(41 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/K1XxxXwb2kK0kRLfXGi6rg/348s.jpg
113. Da Salvo,4.8,(12 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/BGnyiHIhKHIBf_wD0BNlCg/348s.jpg
114. Chito Gvrito,5.0,(1 review),https://s3-media0.fl.yelpcdn.com/bphoto/UB3GeVLywSVaWcnEHUFVPg/348s.jpg
115. Lamm Feuerbach,5.0,(1 review),https://s3-media0.fl.yelpcdn.com/bphoto/t5H2QldCjlblSgqKFWl0mw/348s.jpg
116. Restaurant Madagascar,4.1,(35 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/VrdOsN0GEc9NH7mC46YRcw/348s.jpg
117. Hasen,4.5,(15 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/vQBrdb8bniwP_UiZi44dwA/348s.jpg
118. Quan-An,4.3,(22 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/WsvfCi8XC54DHrnaG1tD1g/348s.jpg
119. épicerie fine,5.0,(20 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/CY_m-HXyI8KekGcxmfoHWg/348s.jpg
120. Woody’s,2.8,(96 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/e0V02IpkImnsEiA06ins7A/348s.jpg
121. Osteria da Maria,4.8,(6 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/I6KHx9hh8nAXPOtHMJyatg/348s.jpg
122. Körschtalklause,5.0,(2 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/wVjUREjps2xbFh5TrTbLuw/348s.jpg
123. Super Jami,4.8,(8 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/PDQ6zdIMCfPzIE7bu_CUpw/348s.jpg
124. Viet Wok,3.8,(5 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/2MbQbGJXTNGHsakm_4RFmw/348s.jpg
125. El Mero Mexicano,3.9,(52 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/QUPE1Ign9XyZz9Wri-4ftA/348s.jpg
126. Sultan Saray,4.0,(67 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/risI6kfR5sTXP6w_Fvxmaw/348s.jpg
127. Kosta’s Restaurant,4.5,(4 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/9SnJ59epG6wUWdlOqbtjhg/348s.jpg
128. Harambe Afrika,3.4,(20 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/Bd1V2R0_TvJVmyfRK2J-mg/348s.jpg
129. Brauhaus Schönbuch,3.4,(99 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/YLYDUaAe8QVssMy36W0e-Q/348s.jpg
130. Cavallino Spaghettaro,5.0,(3 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/i7zf1kdnwsQr4VkR6MekuA/348s.jpg
131. Onkel Otto,3.1,(62 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/MPapOu6A_vP_V4jq_aDsPg/348s.jpg
132. Triple B - Beef Burger Brothers,4.1,(14 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/dATDKysjG_jzyXr26UkTKg/348s.jpg
133. La Bamboo,4.1,(19 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/F-cVQH2NsUT25G_uO-gNUg/348s.jpg
134. Die Zirbelstube,4.8,(20 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/8tVgxV79J51L03my9OrHVA/348s.jpg
135. Valle,4.0,(113 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/ir2a_8DdsbFnTdrKHFC0Cw/348s.jpg
136. Bull Burgerhouse,5.0,(2 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/ejQcbXWNPpddc2vzXxyPWw/348s.jpg
137. Trattoria Salieri,5.0,(1 review),https://s3-media0.fl.yelpcdn.com/bphoto/-8ehzAxXPPpBRCXdQ14fwg/348s.jpg
138. Brenner,4.4,(8 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/D9ylb6l_Vwgo4QE5LtiNiA/348s.jpg
139. pizzabar,4.5,(2 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/8AbQ637Aq5MesfZlC-nr2w/348s.jpg
140. China Restaurant Palast,4.6,(5 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/qg_MGB6T_hjchFZcLV84BQ/348s.jpg
141. Udo-Snack,4.2,(98 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/A3yLayil6UDqSLPbI2dyOw/348s.jpg
142. Bertha’s Restaurant,4.5,(2 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/qYyazxO-LMVFGiKnFomtfQ/348s.jpg
143. Gaststätte Ramsbachtal,4.5,(4 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/3zYVdAY09Vv2dRCsGUrIXA/348s.jpg
144. Weinstube Fröhlich,4.0,(54 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/pEzsoMTAV9s61wf2eQDjjw/348s.jpg
145. Joe Peña’s,4.0,(5 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/dd6TtMtzLrs1N_HXkI7gow/348s.jpg
146. Das Goldene Lamm,5.0,(1 review),https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/ec91c6e75078/assets/img/default_avatars/business_medium_square.png
147. Il Pomodoro,4.3,(17 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/_-GkAc2WCqibqaKCLjD2BQ/348s.jpg
148. La Bruschetta,3.7,(11 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/OiMvNhldXVmsgU42qo99NA/348s.jpg
149. Pinsa,5.0,(1 review),https://s3-media0.fl.yelpcdn.com/bphoto/bJCHdjCfKMITjoIi1_1BRw/348s.jpg
150. Speisekammer West,4.3,(20 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/WvCiZJINr0iNwZEHWszqrA/348s.jpg
151. Kashmir,3.9,(36 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/l0LZNRvlsy4Aa62sy446zQ/348s.jpg
152. Goldener Adler,3.9,(32 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/6XFtbE8VkESXri8a8QE83Q/348s.jpg
153. Mesopotamien,4.9,(16 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/DQ3psiiteXLHb_gXoUOKWw/348s.jpg
154. Nostalgia di Napoli,4.3,(18 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/LrK7LlPEDktDyXYmQuImqQ/348s.jpg
155. Sushi ONE,4.3,(6 reviews),https://s3-media0.fl.yelpcdn.com/bphoto/yTL3YiBmErMktWRoiBIiyA/348s.jpg
